AMongest	AMongest	p-acp	Amongst	amongst	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
vs	vs	pno12	us	we	0
also	also	av	also	also	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
daungerous	daungerous	j	dangerous	dangerous	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
wickednesse	wickednesse	n1	wickedness	wickedness	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
euerlasting	euerlasting	j	everlasting	everlasting	0
kingdome	kingdome	n1	kingdom	kingdom	0
.	.	.	.	.	1
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
