THIS	THIS	d	THIS	this	0
Communion	Communion	n1	Communion	communion	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
gather	gather	vvi	gather	gather	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
sorrow	sorrow	n1	sorrow	sorrow	0
he	he	pns31	he	he	0
shewed	shewed	vvd	showed	show	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
so	so	av	so	so	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
yeelded	yeelded	vvd	yielded	yield	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
this	this	d	this	this	0
oath	oath	n1	oath	oath	0
;	;	;	;	;	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
also	also	av	also	also	0
,	,	,	,	,	0
that	that	cst	that	that	0
many	many	d	many	many	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
taken	taken	vvn	taken	take	0
this	this	d	this	this	0
oath	oath	n1	oath	oath	0
,	,	,	,	,	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
so	so	av	so	so	0
free	free	vvi	free	free	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
from	from	p-acp	from	from	0
molestation	molestation	n1	molestation	molestation	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
your	your	po22	your	your	0
goods	goods	n2-j	goods	good	0
and	and	cc	and	and	0
miseries	miseries	n2	misery's	misery	0
can	can	vmb	can	can	0
satisfie	satisfie	vvi	satisfy	satisfy	0
the	the	dt	the	the	0
vnsatiable	vnsatiable	j	unsatiable	unsatiable	0
crueltie	crueltie	n1	cruelty	cruelty	0
of	of	pp-f	of	of	0
bloudie	bloudie	j	bloody	bloody	0
persecutours	persecutours	n2	persecutors	persecutor	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
by	by	p-acp	by	by	0
yeelding	yeelding	vvg	yielding	yield	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
oath	oath	n1	oath	oath	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
prouoke	prouoke	vvb	provoke	provoke	0
Gods	Gods	n2	Gods	god	0
greater	greater	jc	greater	great	0
anger	anger	n1	anger	anger	0
,	,	,	,	,	0
so	so	av	so	so	0
you	you	pn22	you	you	0
moue	moue	vvb	move	move	0
the	the	dt	the	the	0
persecutour	persecutour	n1	persecutor	persecutor	0
to	to	p-acp	to	to	0
no	no	dx	no	no	0
compassion	compassion	n1	compassion	compassion	0
;	;	;	;	;	0
rather	rather	av	rather	rather	0
you	you	pn22	you	you	0
make	make	vvb	make	make	0
him	him	pno31	him	he	0
more	more	av-dc	more	more	0
insolent	insolent	j	insolent	insolent	0
,	,	,	,	,	0
and	and	cc	and	and	0
redouble	redouble	vvi	redouble	redouble	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
miserie	miserie	n1	misery	misery	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
suppose	suppose	vvb	suppose	suppose	0
you	you	pn22	you	you	0
could	could	vmd	could	can	0
thus	thus	av	thus	thus	0
shake	shake	vvi	shake	shake	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
hauie	hauie	vhb	hauie	have	0
yoke	yoke	n1	yoke	yoke	0
of	of	pp-f	of	of	0
persecution	persecution	n1	persecution	persecution	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
beeing	beeing	vbg	being	be	0
vnlawfull	vnlawfull	j	unlawful	unlawful	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
chiefe	chiefe	j-jn	chief	chief	0
Pastour	Pastour	n1	Pastor	pastor	0
and	and	cc	and	and	0
earnedst	earnedst	js	earnedst	earnedst	0
Doctours	Doctours	n2	Doctors	doctor	0
teach	teach	vvb	teach	teach	0
you	you	pn22	you	you	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
hetherto	hetherto	av	hitherto	hitherto	0
,	,	,	,	,	0
rapinam	rapinam	fw-la	rapinam	rapinam	0
bonorum	bonorum	fw-la	bonorum	bonorum	0
vestrorum	vestrorum	fw-la	vestrorum	vestrorum	0
cum	cum	fw-la	cum	cum	0
gaudio	gaudio	fw-la	gaudio	gaudio	0
suscepistis	suscepistis	fw-la	suscepistis	suscepistis	0
,	,	,	,	,	0
cognoscentes	cognoscentes	fw-la	cognoscentes	cognoscentes	0
vos	vos	fw-fr	vos	vos	0
habere	habere	fw-la	habere	habere	0
meliorem	meliorem	fw-la	meliorem	meliorem	0
&	&	cc	&	and	0
manentem	manentem	fw-la	manentem	manentem	0
substan	substan	fw-mi	substan	substan	0
∣	∣	sy	∣	∣	0
tiā	tiā	n1	tiam	tiam	0
,	,	,	,	,	0
(	(	(	(	(	0
Heb	Heb	n1	Heb	heb	0
10	10	crd	10	10	0
)	)	)	)	)	0
the	the	dt	the	the	0
spoile	spoile	n1	spoil	spoil	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
goods	goods	n2-j	goods	good	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
taken	taken	vvn	taken	take	0
with	with	p-acp	with	with	0
ioy	ioy	n1	joy	joy	0
,	,	,	,	,	0
knowing	knowing	vvg	knowing	know	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
a	a	dt	a	a	0
better	better	jc	better	better	0
and	and	cc	and	and	0
permanent	permanent	j	permanent	permanent	0
substance	substance	n1	substance	substance	0
;	;	;	;	;	0
so	so	av	so	so	0
do	do	vdb	do	do	0
you	you	pn22	you	you	0
perseuere	perseuere	vvi	persevere	persevere	0
and	and	cc	and	and	0
continue	continue	vvi	continue	continue	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
God	God	np1	God	God	0
permit	permit	vvb	permit	permit	0
the	the	dt	the	the	0
persecutour	persecutour	n1	persecutor	persecutor	0
to	to	pc-acp	to	to	0
prey	prey	vvi	prey	prey	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
liues	liues	n2	lives	life	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
nolite	nolite	fw-la	nolite	nolite	0
timere	timere	fw-la	timere	timere	0
eos	eos	fw-la	eos	eos	0
,	,	,	,	,	0
qui	qui	fw-la	qui	qui	0
occidunt	occidunt	fw-la	occidunt	occidunt	0
corpus	corpus	fw-la	corpus	corpus	0
,	,	,	,	,	0
animam	animam	fw-la	animam	animam	0
autem	autem	fw-la	autem	autem	0
non	non	fw-la	non	non	0
possunt	possunt	fw-la	possunt	possunt	0
occi	occi	fw-la	occi	occi	0
∣	∣	sy	∣	∣	0
dere	dere	vvb	dear	dare	0
&c.	&c.	av	etc.	etc	1
(	(	(	(	(	0
Matt	Matt	np1	Matt	Matt	0
10.	10.	crd	10.	10.	0
)	)	)	)	)	0
feare	feare	vvb	fear	fear	0
not	not	xx	not	not	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
kill	kill	vvi	kill	kill	0
the	the	dt	the	the	0
bodie	bodie	n1	body	body	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
kill	kill	vvi	kill	kill	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
feare	feare	vvb	fear	fear	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
destroy	destroy	vvi	destroy	destroy	0
both	both	d	both	both	0
soule	soule	n1	soul	soul	0
and	and	cc	and	and	0
bodie	bodie	n1	body	body	0
into	into	p-acp	into	into	0
Hel.	Hel.	np1	Hel.	Hel.	1
10.	10.	crd	10.	10.	1
Many	Many	av-d	Many	many	0
thinges	thinges	n2	things	thing	0
do	do	vdb	do	do	0
make	make	vvi	make	make	0
this	this	d	this	this	0
oath	oath	n1	oath	oath	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
lawfull	lawfull	j	lawful	lawful	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
easilie	easilie	av-j	easily	easy	0
perceaue	perceaue	vvi	perceive	perceive	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
briese	briese	n1	briese	briese	0
exa	exa	fw-la	exa	exa	0
∣	∣	sy	∣	∣	0
mination	mination	n1	mination	mination	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
last	last	ord	last	last	0
chapter	chapter	n1	chapter	chapter	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
treatise	treatise	n1	treatise	treatise	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
keth	keth	zz	keth	keth	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
were	were	vbdr	were	be	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
this	this	d	this	this	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
vncouth	vncouth	j	uncouth	uncouth	0
and	and	cc	and	and	0
vnwonted	vnwonted	j-u	unwonted	unwonted	0
oath	oath	n1	oath	oath	0
,	,	,	,	,	0
neuer	neuer	av-x	never	never	0
yet	yet	av	yet	yet	0
proposed	proposed	vvn	proposed	propose	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
Prince	Prince	n1	Prince	prince	0
vnto	vnto	p-acp	unto	unto	0
his	his	po31	his	his	0
subiects	subiects	n2-jn	subjects	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
proposed	proposed	vvd	proposed	propose	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
professed	professed	j-vvn	professed	profess	0
Enemies	Enemies	n2	Enemies	enemy	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
all	all	d	all	all	0
Catholikes	Catholikes	njp2	Catholics	catholic	0
that	that	cst	that	that	0
feare	feare	vvb	fear	fear	0
to	to	pc-acp	to	to	0
offend	offend	vvi	offend	offend	0
God	God	np1	God	God	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
iniurie	iniurie	n1	injury	injury	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
her	her	po31	her	her	0
right	right	j-jn	right	right	0
and	and	cc	and	and	0
authoritie	authoritie	n1	authority	authority	0
,	,	,	,	,	0
ought	ought	pi	ought	aught	0
to	to	pc-acp	to	to	0
holde	holde	vvi	hold	hold	0
it	it	pn31	it	it	0
as	as	a-acp	as	as	0
suspected	suspected	vvn	suspected	suspect	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
such	such	d	such	such	0
to	to	pc-acp	to	to	0
shunne	shunne	vvi	shun	shun	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
auoyd	auoyd	vvi	avoid	avoid	0
it	it	pn31	it	it	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
new	new	j	new	new	0
thing	thing	n1	thing	thing	0
for	for	p-acp	for	for	0
heretikes	heretikes	n2	heretics	heretic	0
vnder	vnder	p-acp	under	under	0
colour	colour	n1	colour	colour	0
of	of	pp-f	of	of	0
oathes	oathes	n2	oaths	oath	0
of	of	pp-f	of	of	0
fidelitie	fidelitie	n1	fidelity	fidelity	0
and	and	cc	and	and	0
ciuil	ciuil	j	civil	civil	0
alleageance	alleageance	n1	allegiance	allegiance	0
to	to	pc-acp	to	to	0
deceaue	deceaue	vvi	deceive	deceive	0
the	the	dt	the	the	0
well	well	av	well	well	0
meaning	meaning	vvg	meaning	mean	0
and	and	cc	and	and	0
nought-suspecting	nought-suspecting	j	nought-suspecting	nought-suspecting	0
Catholike	Catholike	jp	Catholic	catholic	0
.	.	.	.	.	1
VVee	VVee	pns12	We	we	0
read	read	vvb	read	read	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
historie	historie	n1	history	history	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
persecution	persecution	n1	persecution	persecution	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Wan	Wan	j	Wan	wan	0
∣	∣	sy	∣	∣	0
dalles	dalles	n2-jn	dalles	dalle	0
,	,	,	,	,	0
(	(	(	(	(	0
Victor	Victor	n1	Victor	victor	0
Vticen	Vticen	np1	Vticen	Vticen	0
.	.	.	.	.	0
lib	lib	n1	lib	lib	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	0
de	de	fw-la	de	de	0
pers	pers	fw-la	pers	pers	0
.	.	.	.	.	1
Vand.	Vand.	np1	Vand.	Vand.	0
)	)	)	)	)	0
how	how	c-crq	how	how	0
Hunnericus	Hunnericus	np1	Hunnericus	Hunnericus	0
proposed	proposed	vvd	proposed	propose	0
such	such	d	such	such	0
an	an	dt	and	a	0
oath	oath	n1	oath	oath	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Catholike	Catholike	jp	Catholic	catholic	0
Bishops	Bishops	n2	Bishops	bishop	0
assembled	assembled	vvn	assembled	assemble	0
together	together	av	together	together	0
at	at	p-acp	at	at	0
Carthage	Carthage	np1	Carthage	Carthage	0
,	,	,	,	,	0
pretēding	pretēding	vvg	pretending	pretend	0
onely	onely	av-j	only	only	0
therby	therby	av	thereby	thereby	0
to	to	pc-acp	to	to	0
assure	assure	vvi	assure	assure	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
side	side	n1	side	side	0
∣	∣	sy	∣	∣	0
litie	litie	n1	litie	litie	0
towards	towards	p-acp	towards	towards	0
him	him	pno31	him	he	0
and	and	cc	and	and	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
,	,	,	,	,	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
succeede	succeede	vvi	succeed	succeed	0
him	him	pno31	him	he	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
take	take	vvi	take	take	0
,	,	,	,	,	0
he	he	pns31	he	he	0
premised	premised	vvn	premised	premise	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
them	them	pno32	them	they	0
home	home	av-an	home	home	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Churches	Churches	n2	Churches	church	0
.	.	.	.	.	1
The	The	dt	The	the	0
oath	oath	n1	oath	oath	0
seemed	seemed	vvd	seemed	seem	0
rie	rie	n1	rye	rye	0
reasonable	reasonable	j	reasonable	reasonable	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
then	then	av	then	then	0
this	this	d	this	this	0
:	:	:	:	:	0
Iurate	Iurate	j	Jurate	jurate	0
si	si	fw-la	si	si	0
post	post	fw-la	post	post	0
obitum	obitum	fw-la	obitum	obitum	0
Domini	Domini	fw-la	Domini	domini	0
nostri	nostri	fw-la	nostri	nostri	0
Regis	Regis	fw-la	Regis	regis	0
,	,	,	,	,	0
eius	eius	fw-la	eius	eius	0
fi	fi	n2	fi	fi	0
∣	∣	sy	∣	∣	0
lium	lium	crd	lium	lium	0
Hildericum	Hildericum	np1	Hildericum	Hildericum	0
desideratis	desideratis	fw-la	desideratis	desideratis	0
esse	esse	fw-la	esse	esse	0
Regem	Regem	fw-la	Regem	regem	0
,	,	,	,	,	0
vel	vel	fw-la	vel	vel	0
si	si	fw-la	si	si	0
nullus	nullus	fw-la	nullus	nullus	0
vestrum	vestrum	fw-la	vestrum	vestrum	0
ad	ad	fw-la	ad	ad	0
Regiones	Regiones	np1	Regiones	Regiones	0
transma	transma	fw-la	transma	transma	0
∣	∣	sy	∣	∣	0
rinas	rinas	fw-la	rinas	rinas	0
epistolas	epistolas	fw-mi	epistolas	epistolas	0
diriget	diriget	fw-la	diriget	diriget	0
:	:	:	:	:	0
Sweare	Sweare	vvb	Swear	swear	0
whether	whether	cs	whither	whether	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
the	the	dt	the	the	0
King	King	n1	King	king	0
,	,	,	,	,	0
you	you	pn22	you	you	0
desire	desire	vvb	desire	desire	0
that	that	cst	that	that	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
Hildericus	Hildericus	np1	Hildericus	Hildericus	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
King	King	n1	King	king	0
:	:	:	:	:	0
or	or	cc	or	or	0
that	that	cst	that	that	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
will	will	n1	will	will	0
wre	wre	vbdr	were	be	0
or	or	cc	or	or	0
send	send	vvi	send	send	0
letters	letters	n2	letters	letter	0
beyond	beyond	p-acp	beyond	beyond	0
the	the	dt	the	the	0
seas	seas	n2	seas	sea	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
this	this	d	this	this	0
oath	oath	n1	oath	oath	0
though	though	cs	though	though	0
in	in	p-acp	in	in	0
shew	shew	vvi	show	show	0
altogether	altogether	av	altogether	altogether	0
lawfull	lawfull	j	lawful	lawful	0
,	,	,	,	,	0
the	the	dt	the	the	0
Catholike	Catholike	jp	Catholic	catholic	0
Bishops	Bishops	n2	Bishops	bishop	0
staggered	staggered	vvd	staggered	stagger	0
:	:	:	:	:	0
and	and	cc	and	and	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
suspecting	suspecting	vvg	suspecting	suspect	0
all	all	d	all	all	0
that	that	cst	that	that	0
cometh	cometh	vvz	comes	come	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Enemies	Enemies	n2	Enemies	enemy	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
flatlie	flatlie	av-j	flatly	flat	0
refused	refused	vvd	refused	refuse	0
it	it	pn31	it	it	0
:	:	:	:	:	0
others	others	ng2-jn	others	other	0
least	least	ds	least	least	0
the	the	dt	the	the	0
people	people	n1	people	people	0
should	should	vmd	should	shall	0
say	say	vvi	say	say	0
that	that	cst	that	that	0
vitio	vitio	fw-la	vitio	vitio	0
sacerdotum	sacerdotum	fw-la	sacerdotum	sacerdotum	0
,	,	,	,	,	0
qui	qui	fw-la	qui	qui	0
iurare	iurare	fw-la	iurare	iurare	0
noluerunt	noluerunt	fw-la	noluerunt	noluerunt	0
,	,	,	,	,	0
non	non	fw-la	non	non	0
fuerint	fuerint	fw-la	fuerint	fuerint	0
Ecclesiae	Ecclesiae	np1	Ecclesiae	Ecclesiae	0
restiturae	restiturae	fw-la	restiturae	restiturae	0
:	:	:	:	:	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
fault	fault	n1	fault	fault	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Priests	Priests	n2	Priests	priest	0
,	,	,	,	,	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
sweare	sweare	vvi	swear	swear	0
,	,	,	,	,	0
the	the	dt	the	the	0
Chur	Chur	n1	Chur	chur	0
∣	∣	sy	∣	∣	0
ches	ches	fw-fr	ches	ches	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
restored	restored	vvn	restored	restore	0
,	,	,	,	,	0
accepted	accepted	vvn	accepted	accept	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
by	by	p-acp	by	by	0
and	and	cc	and	and	0
by	by	a-acp	by	by	0
appeared	appeared	vvd	appeared	appear	0
the	the	dt	the	the	0
hidden	hidden	j-vvn	hidden	hide	0
malice	malice	n1	malice	malice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
secutour	secutour	n1	secutour	secutour	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
he	he	pns31	he	he	0
tooke	tooke	vvd	took	take	0
aduantage	aduantage	n1	advantage	advantage	0
thereby	thereby	av	thereby	thereby	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
against	against	p-acp	against	against	0
those	those	d	those	those	0
that	that	cst	that	that	0
swoare	swoare	vvd	swoare	swear	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
those	those	d	those	those	0
that	that	cst	that	that	0
refused	refused	vvd	refused	refuse	0
to	to	pc-acp	to	to	0
sweare	sweare	vvi	swear	swear	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
swoare	swoare	vvd	swoare	swear	0
,	,	,	,	,	0
his	his	po31	his	his	0
officers	officers	n2	officers	officer	0
sayd	sayd	vvd	said	say	0
:	:	:	:	:	0
VVhy	VVhy	q-crq	Why	why	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
commaundement	commaundement	n1	commandment	commandment	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gho	Gho	n1	Gho	gho	0
∣	∣	sy	∣	∣	0
spell	spell	n1	spell	spell	0
haue	haue	vhb	have	have	0
you	you	pn22	you	you	0
Worne	Worne	vvn	Worn	wear	0
?	?	?	?	?	1
The	The	dt	The	the	0
King	King	n1	King	king	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
maunded	maunded	j	manded	manded	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
neuer	neuer	av-x	never	never	0
visit	visit	vvi	visit	visit	0
your	your	po22	your	your	0
Cities	Cities	n2	Cities	city	0
and	and	cc	and	and	0
Churchs	Churchs	n2	Churches	churche	0
againe	againe	av	again	again	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
being	being	vbg	being	be	0
banished	banished	vvn	banished	banish	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
take	take	vvi	take	take	0
lands	lands	n2	lands	land	0
to	to	p-acp	to	to	0
till	till	c-acp	till	till	0
,	,	,	,	,	0
co	co	vvn	counterfeit	continue	0
∣	∣	sy	∣	∣	0
lonatus	lonatus	fw-la	lonatus	lonatus	0
iure	iure	fw-la	iure	jure	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
right	right	n-jn	right	right	0
of	of	pp-f	of	of	0
farmers	farmers	n2	farmers	farmer	0
and	and	cc	and	and	0
new	new	j	new	new	0
Inhabitants	Inhabitants	n2	Inhabitants	inhabitant	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
condition	condition	n1	condition	condition	0
also	also	av	also	also	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
neither	neither	av-dx	neither	neither	0
sing	sing	vvb	sing	sing	0
seruice	seruice	n1	service	service	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
pray	pray	vvb	pray	pray	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
carrie	carrie	vvi	carry	carry	0
booke	booke	n1	book	book	0
to	to	pc-acp	to	to	0
reade	reade	vvi	read	read	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
Baptize	Baptize	vvb	Baptise	baptise	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
giue	giue	vvi	give	give	0
orders	orders	n2	order	order	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
reconcile	reconcile	vvi	reconcile	reconcile	0
any	any	d	any	any	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
refused	refused	vvd	refused	refuse	0
to	to	pc-acp	to	to	0
sweare	sweare	vvi	swear	swear	0
,	,	,	,	,	0
they	they	pns32	they	they	0
sayd	sayd	vvd	said	say	0
:	:	:	:	:	0
quia	quia	fw-la	quia	quia	0
regnum	regnum	fw-la	regnum	regnum	0
filii	filii	fw-la	filii	filii	0
Domini	Domini	fw-la	Domini	domini	0
nostri	nostri	fw-la	nostri	nostri	0
non	non	fw-la	non	non	0
optatis	optatis	fw-la	optatis	optatis	0
,	,	,	,	,	0
idcirco	idcirco	fw-la	idcirco	idcirco	0
iurare	iurare	fw-la	iurare	iurare	0
noluistis	noluistis	fw-la	noluistis	noluistis	0
&c.	&c.	av	etc.	etc	1
Because	Because	p-acp	Because	because	0
you	you	pn22	you	you	0
desire	desire	vvb	desire	desire	0
not	not	xx	not	not	0
that	that	d	that	that	0
the	the	dt	the	the	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
the	the	dt	the	the	0
King	King	n1	King	king	0
should	should	vmd	should	shall	0
raigne	raigne	vvi	reign	reign	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	c-acp	before	fore	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
sweare	sweare	vvi	swear	swear	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
which	which	r-crq	which	which	0
cause	cause	n1	cause	cause	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
commaunded	commaunded	vvn	commanded	command	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
banished	banished	vvn	banished	banish	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
e	e	fw-la	e	e	0
of	of	pp-f	of	of	0
Corsica	Corsica	np1	Corsica	Corsica	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
hew	hew	vvi	hew	hew	0
trees	trees	n2	trees	tree	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
buildings	buildings	n2	buildings	building	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
extraordinarie	extraordinarie	j	extraordinary	extraordinary	0
oathes	oathes	n2	oaths	oath	0
the	the	dt	the	the	0
hereticall	hereticall	j	heretical	heretical	0
Magistrate	Magistrate	n1	Magistrate	magistrate	0
hath	hath	vhz	hath	have	0
sinister	sinister	j	sinister	sinister	0
inten	inten	j	inten	inten	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
and	and	cc	and	and	0
hidden	hidden	j-vvn	hidden	hide	0
meanings	meanings	n2	meanings	meaning	0
,	,	,	,	,	0
and	and	cc	and	and	0
vnder	vnder	p-acp	under	under	0
faire	faire	j	fair	fair	0
pretences	pretences	n2	pretences	pretence	0
coucheth	coucheth	vvz	couches	couch	0
