Men	Men	np1	Men	Men	0
,	,	,	,	,	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
publick	publick	j	public	public	0
Assemblies	Assemblies	n2	Assemblies	assembly	0
;	;	;	;	;	0
and	and	cc	and	and	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
ask	ask	vvb	ask	ask	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
disorder	disorder	n1	disorder	disorder	0
,	,	,	,	,	0
the	the	dt	the	the	0
Ministers	Ministers	n2	Ministers	minister	0
will	will	vmb	will	will	0
tell	tell	vvi	tell	tell	0
us	us	pno12	us	we	0
that	that	d	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
unruliness	unruliness	n1	unruliness	unruliness	0
and	and	cc	and	and	0
wilfulness	wilfulness	n1	wilfulness	wilfulness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
that	that	cst	that	that	0
proudly	proudly	av-j	proudly	proud	0
set	set	vvn	set	set	0
themselves	themselves	px32	themselves	themselves	0
above	above	p-acp	above	above	0
their	their	po32	their	their	0
Guides	Guides	n2	Guides	guide	0
,	,	,	,	,	0
and	and	cc	and	and	0
instead	instead	av	instead	instead	0
of	of	pp-f	of	of	0
obeying	obeying	vvg	obeying	obey	0
them	them	pno32	them	they	0
,	,	,	,	,	0
must	must	vmb	must	must	0
rule	rule	vvi	rule	rule	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
their	their	po32	their	their	0
humors	humors	n2	humours	humour	0
and	and	cc	and	and	0
conceits	conceits	n2	conceits	conceit	0
fulfilled	fulfilled	vvn	fulfilled	fulfil	0
,	,	,	,	,	0
even	even	av	even	even	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
or	or	cc	or	or	0
else	else	av	else	else	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
revile	revile	vvi	revile	revile	0
the	the	dt	the	the	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
stors	stors	n2	stors	stor	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
divisions	divisions	n2	divisions	division	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
And	And	cc	And	and	0
this	this	d	this	this	0
is	is	vbz	is	be	0
done	done	vdn	done	do	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
that	that	d	that	that	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
cases	cases	n2	cases	case	0
do	do	vdb	do	do	0
seem	seem	vvi	seem	seem	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
to	to	pc-acp	to	to	0
reverence	reverence	vvi	reverence	reverence	0
the	the	dt	the	the	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
publick	publick	j	public	public	0
As	As	p-acp	As	as	0
∣	∣	sy	∣	∣	0
sembly	sembly	n1	sembly	sembly	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
house	house	n1	house	house	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
speak	speak	vvb	speak	speak	0
against	against	p-acp	against	against	0
private	private	j	private	private	0
meetings	meetings	n2	meetings	meeting	0
,	,	,	,	,	0
though	though	cs	though	though	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
pray	pray	vvi	pray	pray	0
∣	∣	sy	∣	∣	0
er	er	fw-mi	er	er	0
,	,	,	,	,	0
repeating	repeating	vvg	repeating	repeat	0
Sermons	Sermons	n2	Sermons	sermon	0
,	,	,	,	,	0
or	or	cc	or	or	0
singing	singing	vvg	singing	sing	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
praise	praise	n1	praise	praise	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
while	while	cs	while	while	0
yet	yet	av	yet	yet	0
themselves	themselves	px32	themselves	themselves	0
are	are	vbr	are	be	0
wil	wil	n1	will	will	0
∣	∣	sy	∣	∣	0
fully	fully	av-j	fully	full	0
bent	bent	n1	bent	bent	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
private	private	j	private	private	0
meetings	meetings	n2	meetings	meeting	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
set	set	vvn	set	set	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
oppo	oppo	n1	oppo	oppo	0
∣	∣	sy	∣	∣	0
sition	sition	n1	sition	sition	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
publick	publick	j	public	public	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
administration	administration	n1	administration	administration	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
an	an	dt	and	a	0
Ordinance	Ordinance	n1	Ordinance	ordinance	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Sa	Sa	uh	Sa	sa	0
∣	∣	sy	∣	∣	0
crament	crament	n1	crament	crament	0
of	of	pp-f	of	of	0
Baptism	Baptism	n1	Baptism	baptism	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
cases	cases	n2	cases	case	0
where	where	c-crq	where	where	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
neces	neces	n2	nieces	niece	0
∣	∣	sy	∣	∣	0
sity	sity	n1	sity	sity	0
of	of	pp-f	of	of	0
prvacy	prvacy	n1	prvacy	prvacy	0
:	:	:	:	:	0
And	And	cc	And	and	0
who	who	r-crq	who	who	0
knows	knows	vvz	knows	know	0
not	not	xx	not	not	0
that	that	cst	that	that	0
our	our	po12	our	our	0
Sacra	Sacra	fw-la	Sacra	sacra	0
∣	∣	sy	∣	∣	0
mentall	mentall	j	mental	mental	0
Covenant	Covenant	n1	Covenant	covenant	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
engagement	engagement	n1	engagement	engagement	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
life	life	n1	life	life	0
▪	▪	▪	▪	▪	0
and	and	cc	and	and	0
reception	reception	n1	reception	reception	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stian	stian	n1	stian	stian	0
state	state	n1	state	state	0
and	and	cc	and	and	0
priviledges	priviledges	n2	privileges	privilege	0
,	,	,	,	,	0
is	is	vbz	is	be	0
fitter	fitter	jc	fitter	fit	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
honourable	honourable	j	honourable	honourable	0
solemnity	solemnity	n1	solemnity	solemnity	0
,	,	,	,	,	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
conventicle	conventicle	n1	conventicle	conventicle	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
private	private	j	private	private	0
house	house	n1	house	house	0
?	?	?	?	?	1
Too	Too	av	Too	too	0
many	many	d	many	many	0
more	more	dc	more	more	0
such	such	d	such	such	0
instan	instan	fw-mi	instan	instan	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
shew	shew	n1	show	show	0
who	who	r-crq	who	who	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
that	that	d	that	that	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Unity	Unity	n1	Unity	unity	0
;	;	;	;	;	0
Even	Even	av	Even	even	0
those	those	d	those	those	0
that	that	cst	that	that	0
cry	cry	vvb	cry	cry	0
out	out	av	out	out	0
against	against	p-acp	against	against	0
di	di	dt	di	the	0
∣	∣	sy	∣	∣	0
visions	visions	n2	visions	vision	0
while	while	cs	while	while	0
they	they	pns32	they	they	0
caue	caue	n1	cave	cave	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
cry	cry	vvb	cry	cry	0
up	up	a-acp	up	up	0
Unity	Unity	n1	Unity	unity	0
,	,	,	,	,	0
concord	concord	n1	concord	concord	0
and	and	cc	and	and	0
obedience	obedience	n1	obedience	obedience	0
,	,	,	,	,	0
while	while	cs	while	while	0
they	they	pns32	they	they	0
destroy	destroy	vvb	destroy	destroy	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
shall	shall	vmb	shall	shall	0
we	we	pns12	we	we	0
thus	thus	av	thus	thus	0
continue	continue	vvi	continue	continue	0
a	a	dt	a	a	0
division	division	n1	division	division	0
that	that	cst	that	that	0
doth	doth	vdz	does	do	0
prognosti	prognosti	n1	prognosti	prognosti	0
∣	∣	sy	∣	∣	0
cate	cate	vvb	cate	care	0
our	our	po12	our	our	0
Everlasting	Everlasting	j	Everlasting	everlasting	0
division	division	n1	division	division	0
?	?	?	?	?	1
Is	Is	vbz	Is	be	0
there	there	pc-acp	there	there	0
no	no	dx	no	no	0
Remedy	Remedy	n1	Remedy	remedy	0
for	for	p-acp	for	for	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
misery	misery	n1	misery	misery	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
yet	yet	av	yet	yet	0
our	our	po12	our	our	0
poor	poor	j	poor	poor	0
ungodly	ungodly	j	ungodly	ungodly	0
neighbours	neighbours	n2	neighbours	neighbour	0
my	my	po11	my	my	0
heal	heal	vvi	heal	heal	0
it	it	pn31	it	it	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
?	?	?	?	?	1
What	What	q-crq	What	what	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Ministers	Ministers	n2	Ministers	minister	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
severall	severall	j	several	several	0
Parishes	Parishes	n2	Parishes	parish	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
appoint	appoint	vvi	appoint	appoint	0
one	one	crd	one	one	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
publick	publick	j	public	public	0
Conference	Conference	n1	Conference	conference	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Parishes	Parishes	n2	Parishes	parish	0
together	together	av	together	together	0
,	,	,	,	,	0
and	and	cc	and	and	0
desire	desire	vvb	desire	desire	0
all	all	d	all	all	0
tht	tht	cst	that	that	0
are	are	vbr	are	be	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
bate	bate	zz	bate	bate	0
the	the	dt	the	the	0
case	case	n1	case	case	0
,	,	,	,	,	0
and	and	cc	and	and	0
give	give	vvi	give	give	0
their	their	po32	their	their	0
Reasons	Reasons	n2	Reasons	reason	0
,	,	,	,	,	0
why	why	c-crq	why	why	0
they	they	pns32	they	they	0
concur	concur	vvb	concur	concur	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
and	and	cc	and	and	0
lives	lives	n2	lives	life	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
diligent	diligent	j	diligent	diligent	0
servants	servants	n2	servants	servant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
?	?	?	?	?	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
her	her	po31	her	her	0
the	the	dt	the	the	0
Reasons	Reasons	n2	Reasons	reason	0
why	why	c-crq	why	why	0
the	the	dt	the	the	0
god	god	n1	god	god	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
dare	dare	vvb	dare	dare	0
not	not	xx	not	not	0
,	,	,	,	,	0
and	and	cc	and	and	0
cannot	cannot	vmbx	cannot	can	0
come	come	vvi	come	come	0
over	over	a-acp	over	over	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
negligent	negligent	j	negligent	negligent	0
ungod	ungod	n1	ungod	ungod	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
course	course	n1	course	course	0
?	?	?	?	?	0
and	and	cc	and	and	0
so	so	av	so	so	0
try	try	vvb	try	try	0
who	who	r-crq	who	who	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
long	long	j	long	long	0
of	of	pp-f	of	of	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
ar	ar	vbr	are	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
One	One	crd	One	one	0
mind	mind	n1	mind	mind	0
and	and	cc	and	and	0
way	way	n1	way	way	0
?	?	?	?	?	0
what	what	q-crq	what	what	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Ministers	Ministers	n2	Ministers	minister	0
then	then	av	then	then	0
urged	urged	vvd	urged	urge	0
it	it	pn31	it	it	0
on	on	p-acp	on	on	0
them	them	pno32	them	they	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
agree	agree	vvi	agree	agree	0
all	all	d	all	all	0
before	before	c-acp	before	before	0
they	they	pns32	they	they	0
parted	parted	vvd	parted	part	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
unite	unite	vvi	unite	unite	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
terms	terms	n2	terms	term	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
own	own	vvi	own	own	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
uanimously	uanimously	av-j	uanimously	uanimous	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
that	that	d	that	that	0
course	course	n1	course	course	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
most	most	av-ds	most	most	0
agreeable	agreeable	j	agreeable	agreeable	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Word	Word	n1	Word	word	0
;	;	;	;	;	0
and	and	cc	and	and	0
whoever	whoever	r-crq	whoever	whoever	0
doth	doth	vdz	does	do	0
bring	bring	vvi	bring	bring	0
the	the	dt	the	the	0
fullest	fullest	js	fullest	full	0
proof	proof	n1	proof	proof	0
that	that	cst	that	that	0
his	his	po31	his	his	0
course	course	n1	course	course	0
is	is	vbz	is	be	0
best	best	js	best	best	0
in	in	p-acp	in	in	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
should	should	vmd	should	shall	0
promise	promise	vvi	promise	promise	0
to	to	pc-acp	to	to	0
joyn	joyn	vvi	join	join	0
wth	wth	p-acp	with	with	0
him	him	pno31	him	he	0
What	What	r-crq	What	what	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
call	call	vvb	call	call	0
the	the	dt	the	the	0
people	people	n1	people	people	0
together	together	av	together	together	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
speak	speak	vvb	speak	speak	0
them	them	pno32	them	they	0
as	as	p-acp	as	as	0
Elijah	Elijah	np1	Elijah	Elijah	0
did	did	vdd	did	do	0
,	,	,	,	,	0
1	1	crd	1	1	0
Kings	Kings	n2	Kings	king	0
8.21	8.21	crd	8.21	8.21	0
.	.	.	.	.	1
How	How	c-crq	How	how	0
long	long	av-j	long	long	0
halt	halt	vvi	halt	halt	0
ye	ye	pn22	you	you	0
between	between	p-acp	between	between	0
two	two	crd	two	two	0
opinions	opinions	n2	opinions	opinion	0
?	?	?	?	?	1
If	If	cs	If	if	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
be	be	vbb	be	be	0
God	God	np1	God	God	0
,	,	,	,	,	0
follow	follow	vvb	follow	follow	0
him	him	pno31	him	he	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
Baal	Baal	np1	Baal	Baal	0
,	,	,	,	,	0
then	then	av	then	then	0
follow	follow	vvb	follow	follow	0
him	him	pno31	him	he	0
.	.	.	.	.	1
[	[	[	[	[	0
If	If	cs	If	if	0
a	a	dt	a	a	0
carless	carless	j	careless	careless	0
,	,	,	,	,	0
ungodly	ungodly	j	ungodly	ungodly	0
,	,	,	,	,	0
worldly	worldly	j	worldly	worldly	0
,	,	,	,	,	0
fleshly	fleshly	j	fleshly	fleshly	0
life	life	n1	life	life	0
be	be	vbb	be	be	0
best	best	js	best	best	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
please	please	vvi	please	please	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
comfort	comfort	vvi	comfort	comfort	0
you	you	pn22	you	you	0
most	most	av-ds	most	most	0
at	at	p-acp	at	at	0
death	death	n1	death	death	0
and	and	cc	and	and	0
judge	judge	n1	judge	judge	0
∣	∣	sy	∣	∣	0
ment	ment	fw-la	ment	ment	0
,	,	,	,	,	0
then	then	av	then	then	0
hold	hold	vvb	hold	hold	0
on	on	a-acp	on	on	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
never	never	av-x	never	never	0
pur	pur	zz	pur	pur	0
∣	∣	sy	∣	∣	0
pose	pose	vvi	pose	pose	0
hereafter	hereafter	av	hereafter	hereafter	0
to	to	pc-acp	to	to	0
repent	repent	vvi	repent	repent	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
let	let	vvb	let	let	0
us	us	pno12	us	we	0
all	all	d	all	all	0
become	become	vvi	become	become	0
as	as	c-acp	as	as	0
sensuall	sensuall	j	sensual	sensual	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
only	only	av-j	only	only	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
and	and	cc	and	and	0
holi	holi	j	holy	holy	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
,	,	,	,	,	0
and	and	cc	and	and	0
seeking	seeking	vvg	seeking	seek	0
first	first	ord	first	first	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
and	and	cc	and	and	0
Righteousness	Righteousness	n1	Righteousness	righteousness	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
that	that	cst	that	that	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
Scripture	Scripture	n1	Scripture	scripture	0
,	,	,	,	,	0
and	and	cc	and	and	0
reason	reason	n1	reason	reason	0
will	will	vmb	will	will	0
justifie	justifie	vvi	justify	justify	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
comfort	comfort	vvi	comfort	comfort	0
the	the	dt	the	the	0
soul	soul	n1	soul	soul	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hour	hour	n1	hour	hour	0
of	of	pp-f	of	of	0
extremity	extremity	n1	extremity	extremity	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
thousand	thousand	crd	thousand	thousand	0
times	times	n2	times	time	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
followed	followed	vvn	followed	follow	0
,	,	,	,	,	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
everlasting	everlasting	j	everlasting	everlasting	0
misery	misery	n1	misery	misery	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
wish	wish	n1	wish	wish	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
is	is	vbz	is	be	0
too	too	av	too	too	0
late	late	j	late	late	0
)	)	)	)	)	0
if	if	cs	if	if	0
now	now	av	now	now	0
you	you	pn22	you	you	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
tinue	tinue	vvb	tinue	tinue	0
to	to	pc-acp	to	to	0
neglect	neglect	vvi	neglect	neglect	0
it	it	pn31	it	it	0
;	;	;	;	;	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
cmmon	cmmon	j	cmmon	cmmon	0
reason	reason	n1	reason	reason	0
then	then	av	then	then	0
require	require	vvi	require	require	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
all	all	d	all	all	0
now	now	av	now	now	0
agree	agree	vvi	agree	agree	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
that	that	d	that	that	0
way	way	n1	way	way	0
which	which	r-crq	which	which	0
all	all	d	all	all	0
will	will	vmb	will	will	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
sire	sire	vvb	sire	sire	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
last	last	ord	last	last	0
?	?	?	?	?	0
]	]	]	]	]	1
One	One	pi	One	one	0
would	would	vmd	would	will	0
think	think	vvi	think	think	0
,	,	,	,	,	0
if	if	cs	if	if	0
a	a	dt	a	a	0
Mini	Mini	np1	Mini	Mini	0
∣	∣	sy	∣	∣	0
ster	ster	vvz	ster	star	0
should	should	vmd	should	shall	0
treat	treat	vvi	treat	treat	0
thus	thus	av	thus	thus	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Parishioners	Parishioners	n2	Parishioners	parishioner	0
,	,	,	,	,	0
and	and	cc	and	and	0
urge	urge	vvi	urge	urge	0
such	such	d	such	such	0
a	a	dt	a	a	0
motion	motion	n1	motion	motion	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
,	,	,	,	,	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
or	or	cc	or	or	0
faces	faces	n2	faces	face	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
deny	deny	vvi	deny	deny	0
,	,	,	,	,	0
or	or	cc	or	or	0
delay	delay	vvi	delay	delay	0
such	such	d	such	such	0
a	a	dt	a	a	0
necessary	necessary	j	necessary	necessary	0
Agreement	Agreement	n1	Agreement	agreement	0
and	and	cc	and	and	0
Engagement	Engagement	n1	Engagement	engagement	0
,	,	,	,	,	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
make	make	vvi	make	make	0
their	their	po32	their	their	0
Parish	Parish	n1	Parish	parish	0
and	and	cc	and	and	0
their	their	po32	their	their	0
souls	souls	n2	souls	soul	0
so	so	av	so	so	0
happy	happy	j	happy	happy	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
nothing	nothing	pix	nothing	nothing	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
Devil	Devil	n1	Devil	devil	0
and	and	cc	and	and	0
the	the	dt	the	the	0
befooled	befooled	vvn	befooled	befool	0
corrupted	corrupted	j-vvn	corrupted	corrupt	0
minds	minds	n2	minds	mind	0
of	of	pp-f	of	of	0
sinners	sinners	n2	sinners	sinner	0
hath	hath	vhz	hath	have	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
against	against	p-acp	against	against	0
!	!	!	!	!	1
And	And	cc	And	and	0
yet	yet	av	yet	yet	0
its	its	pn31|vbz	its	it|be	0
likely	likely	j	likely	likely	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
either	either	d	either	either	0
have	have	vhb	have	have	0
such	such	d	such	such	0
an	an	dt	and	a	0
answer	answer	n1	answer	answer	0
as	as	p-acp	as	as	0
Elijah	Elijah	np1	Elijah	Elijah	0
had	had	vhd	had	have	0
,	,	,	,	,	0
even	even	av	even	even	0
silence	silence	n1	silence	silence	0
,	,	,	,	,	0
(	(	(	(	(	0
v.	v.	n1	v.	v.	0
21.	21.	crd	21.	21.	1
The	The	dt	The	the	0
people	people	n1	people	people	0
answered	answered	vvd	answered	answer	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
a	a	dt	a	a	0
word	word	n1	word	word	0
.	.	.	.	.	0
)	)	)	)	)	1
Or	Or	cc	Or	or	0
else	else	av	else	else	0
some	some	d	some	some	0
plausible	plausible	j	plausible	plausible	0
promise	promise	n1	promise	promise	0
,	,	,	,	,	0
while	while	cs	while	while	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
good	good	j	good	good	0
mood	mood	n1	mood	mood	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
would	would	vmd	would	will	0
quickly	quickly	av-j	quickly	quick	0
be	be	vbi	be	be	0
broken	broken	vvn	broken	break	0
&	&	cc	&	and	0
come	come	vvn	come	come	0
to	to	p-acp	to	to	0
nothing	nothing	pix	nothing	nothing	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
all	all	d	all	all	0
engaged	engaged	vvn	engaged	engage	0
already	already	av	already	already	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
baptismall	baptismall	j	baptismal	baptismal	0
Covenant	Covenant	n1	Covenant	covenant	0
and	and	cc	and	and	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
fession	fession	n1	fession	fession	0
of	of	pp-f	of	of	0
Christianity	Christianity	np1	Christianity	Christianity	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
very	very	av	very	very	0
same	same	d	same	same	0
thing	thing	n1	thing	thing	0
:	:	:	:	:	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
we	we	pns12	we	we	0
see	see	vvb	see	see	0
how	how	c-crq	how	how	0
little	little	av-j	little	little	0
they	they	pns32	they	they	0
regard	regard	vvb	regard	regard	0
it	it	pn31	it	it	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
yet	yet	av	yet	yet	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
to	to	p-acp	to	to	0
use	use	vvi	use	use	0
the	the	dt	the	the	0
means	means	n2	means	mean	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
